Issue Type,Issue ID,Parent,Summary,Description,Priority,Story Points,Labels
Epic,1,,"Foundation & Architecture","Set up the solution structure: .NET 8 solution with four projects (API / Core / Infrastructure / Tests), project-to-project references, all NuGet packages, DI wiring in Program.cs, Swagger, appsettings.json, and .gitignore.",High,,foundation
Story,2,1,"Create .NET 8 solution with four projects","As a developer, I need the solution scaffolded with SportsBetting.API, SportsBetting.Core, SportsBetting.Infrastructure, and SportsBetting.Tests so that all code has a clear home and project references are correct. Acceptance Criteria: dotnet build succeeds with zero errors; all four .csproj files referenced in the .sln; project-to-project references wired correctly.",Critical,2,foundation
Story,3,1,"Configure NuGet packages across all projects","As a developer, I need all required NuGet packages restored so that builds are repeatable. Acceptance Criteria: EF Core 8, Polly, Swashbuckle, xUnit, Moq, and FluentAssertions all present in correct projects; dotnet restore succeeds on a clean machine.",Critical,1,foundation
Story,4,1,"Set up DI container in Program.cs","As a developer, I need all services registered in the DI container so the app starts cleanly. Acceptance Criteria: All services resolve at startup; no missing-registration exceptions; app starts and responds on the expected port.",Critical,2,foundation
Story,5,1,"Add Swagger/OpenAPI documentation","As an API consumer, I need a Swagger UI so I can explore and test endpoints without a separate tool. Acceptance Criteria: Swagger UI loads at /swagger; all current endpoints visible with correct HTTP verbs and route parameters.",Medium,1,foundation
Story,6,1,"Create appsettings.json with all configuration sections","As a developer, I need a complete appsettings.json so all settings are discoverable and documented. Acceptance Criteria: ConnectionStrings, SportsData (ApiKey + BaseUrl), OddsAPI (ApiKey + BaseUrl), DataIngestion (EnableBackgroundService + UpdateIntervalHours) all present.",High,1,foundation
Story,7,1,"Add .gitignore excluding secrets and build artefacts","As a developer, I need a .gitignore so API keys and build output are never committed. Acceptance Criteria: appsettings.*.json, bin/, obj/, .vs/ all excluded; appsettings.json itself is tracked.",Low,1,foundation
Epic,8,,"Database & Data Access Layer","Define all EF Core entities, configure the DbContext with indexes and seed data, create the full repository pattern with Unit of Work, and produce an idempotent T-SQL setup script.",Critical,,database
Story,9,8,"Define all Core entities","As a developer, I need all nine domain entities defined so EF Core can generate the schema. Acceptance Criteria: Sport, Team, Game, GameOdds, TeamStatistic, Model, ModelPerformance, Prediction, and BettingRecommendation all exist with correct FK relationships and data annotations.",Critical,3,database
Story,10,8,"Create SportsBettingDbContext with full configuration","As a developer, I need DbContext OnModelCreating to configure indexes, unique constraints, FK delete behaviour, and seed data. Acceptance Criteria: All entities mapped; unique constraints on Sport.Name and Model(Name+Version); seed data inserts NBA/NFL/NHL/MLB sports; migrations generate cleanly.",Critical,3,database
Story,11,8,"Add EF Core indexes for query-critical columns","As a developer, I need targeted indexes so common queries run fast. Acceptance Criteria: Indexes exist on GameDate, SportId+GameDate, ExternalGameId, Status+GameDate, ModelId+CreatedAt, and Edge+CreatedAt.",High,2,database
Story,12,8,"Implement generic Repository<T> base class","As a developer, I need a reusable base repository so specialised repos share CRUD logic. Acceptance Criteria: GetByIdAsync, FindAsync, AddAsync, AddRangeAsync, UpdateAsync, DeleteAsync, CountAsync, ExistsAsync all implemented and passing unit tests.",Critical,2,database
