Issue Type,Issue ID,Parent,Summary,Description,Priority,Story Points,Labels
Epic,MBALL-300,,Player Data Layer Foundation,"Core database schema and entity framework. Covers Players, PlayerSeasonStats, PlayerGameStats, MLPlayerModels tables, entities, DTOs, and repositories.",Critical,21,"player-data,data-layer"
Epic,MBALL-310,,Player Data Ingestion Pipeline,"Full ingestion pipeline from SportRadar API into SQL Server. Covers API integration, player ingestion service, season stats aggregation, minutes parser, and DNP handling.",Critical,34,"ingestion,sportradar,pipeline"
Epic,MBALL-320,,Feature Engineering Framework,"All ML features computed and validated. Rolling averages, home/away splits, rest days, opponent defense, pace and usage proxies.",High,21,"feature-engineering,ml"
Epic,MBALL-330,,Multi-Model ML Framework,"Multi-model training and comparison system. Linear Regression, Random Forest, XGBoost, LightGBM, cross-validation, hyperparameter tuning, model persistence.",Critical,55,"ml,models,training"
Epic,MBALL-340,,Prediction API & Integration,"Prediction endpoints live. Single and batch predictions, caching, confidence scoring, fallback strategy.",High,34,"api,prediction,integration"
Epic,MBALL-350,,Testing & Quality Assurance,"90%+ unit test coverage achieved. All entity, ingestion, calculator, ML pipeline, and API integration tests passing.",High,21,"testing,qa,unit-tests"
Epic,MBALL-360,,Documentation & Deployment,"Technical documentation, database migration scripts, Python environment setup, and monitoring dashboard.",Medium,13,"documentation,deployment,monitoring"
Story,MBALL-301,MBALL-300,Design and Implement Player Database Schema,"Create Players, PlayerSeasonStats, PlayerGameStats, and MLPlayerModels tables with all constraints, computed columns, indexes, and foreign keys. Write migration script with rollback.",Critical,8,"database,schema,sprint-1"
Story,MBALL-302,MBALL-300,Create Player Entity Classes and DTOs,"Create Player, PlayerSeasonStat, PlayerGameStat, MLPlayerModel entities matching schema. Create PlayerProfileDto, SeasonStatsDto, GameBoxscoreDto, PlayerGameStatsDto for SportRadar API ingestion. Configure EF Core mappings.",Critical,5,"entities,dto,sprint-1"
Story,MBALL-303,MBALL-300,Implement Player Repository Interfaces,"Define IPlayerRepository, IPlayerGameStatsRepository, IMLPlayerModelRepository with async methods. Implement concrete repository classes and register in DI container.",High,5,"repository,interfaces,sprint-1"
Story,MBALL-304,MBALL-300,Build ML_PlayerFeatures View,"SQL view generating rolling averages (L3, L5, L10), season averages, home/away splits, rest days, B2B flag, opponent context, pace proxy. Excludes DNPs. Optimized for training queries.",High,8,"sql,view,feature-engineering,sprint-2"
Story,MBALL-305,MBALL-300,Create Derived Stat Calculator Utility,"DerivedStatCalculator class with IsDoubleDouble, IsTripleDouble, CalculateRollingAverage methods. Excludes DNPs, handles edge cases. Comprehensive unit tests.",Medium,3,"calculator,utilities,sprint-1"
Story,MBALL-306,MBALL-300,Build DraftKings Fantasy Calculator,"DraftKingsFantasyCalculator with CalculateFantasyScore and ProjectFantasyScore methods. Correct point values, double-double and triple-double bonuses. Probability-weighted projections.",Medium,3,"calculator,draftkings,sprint-2"
Story,MBALL-311,MBALL-310,Implement SportRadar Player API Integration,"Add SportRadar player endpoints: GetNBAPlayersAsync, GetPlayerProfileAsync, GetPlayerSeasonStatsAsync, GetGameBoxscoreAsync. Rate limiting (1 req/sec), circuit breaker, retry with exponential backoff.",Critical,8,"sportradar,api,integration,sprint-2"
Story,MBALL-312,MBALL-310,Build Player Ingestion Service,"PlayerIngestionService with IngestNBAPlayersAsync (upsert all players) and IngestPlayerGameStatsAsync (date range). Idempotent, handles DNPs, transaction per game.",Critical,13,"ingestion,service,sprint-3"
Story,MBALL-313,MBALL-310,Create Season Stats Aggregation Job,"SeasonStatsAggregator aggregating game stats into season averages. Calculates shooting percentages, double/triple-double counts, DraftKings score. Handles trades. Runs nightly or on-demand.",High,8,"aggregation,season-stats,sprint-3"
